utilidad, promedio_productos_Almacén, promedio_productos_Verdurería, promedio_productos_Panadería, promedio_productos_Refrigerados, tiempo_espera_Almacén, tiempo_espera_Verdurería, tiempo_espera_Panadería, tiempo_espera_Refrigerados, tiempo_balanza_Verdurería, tiempo_balanza_Panadería,tiempo_caja_Autoservicio, tiempo_caja_Normal, tiempo_caja_Preferencial, tiempo_permanencia_Normal,tiempo_permanencia_Preferencial
12154053.615276, 8383.572054, 1130.912537, 784.625399, 2194.290579, 0.002163, 0.277077, 0.366254, 0.406078, 0.336685, 0.286896, 5.939883, 11.579937, 13.021143, 49.357527, 44.864550
12135120.285041, 8072.637598, 1103.832451, 765.597143, 2187.268428, 0.001452, 0.106736, 0.049662, 0.109753, 0.189426, 0.202211, 5.188141, 11.275577, 12.975694, 47.539679, 42.925772
12481600.445156, 7998.559696, 884.924927, 753.168454, 2404.058675, 0.000000, 0.742599, 0.427018, 0.008351, 0.277504, 0.388636, 3.160666, 7.053121, 6.334441, 44.722082, 42.644653
12079397.270623, 8431.965325, 743.231733, 734.498694, 2123.975362, 0.000000, 0.222231, 0.050573, 0.122800, 0.308157, 0.355705, 2.735575, 6.733736, 7.338525, 44.198513, 44.182179
11978645.301805, 8308.376799, 842.695555, 801.049217, 2395.070191, 0.000000, 0.203033, 0.149192, 0.014672, 0.257495, 0.237273, 2.999086, 6.865617, 6.174556, 44.786041, 44.075362
12839784.196205, 8494.396443, 878.993183, 681.074331, 2353.092319, 0.000308, 0.331007, 0.277370, 0.103622, 0.310683, 0.333836, 7.054540, 13.770227, 13.858359, 51.439187, 42.355843
12292566.066083, 8674.011950, 1188.453372, 689.666855, 2354.871974, 0.000000, 0.021012, 0.164200, 0.030126, 0.199407, 0.348048, 3.155005, 7.203262, 6.907819, 43.930177, 42.417644
11554493.118133, 9103.456898, 860.401901, 817.681472, 2284.744545, 0.000000, 0.372567, 0.068652, 0.058361, 0.207144, 0.269606, 3.010746, 7.044769, 6.937065, 44.026911, 46.002364
12329728.309628, 8569.302835, 979.102820, 682.025003, 2345.467654, 0.000000, 0.371366, 0.438248, 0.066893, 0.285042, 0.326213, 4.632687, 9.243334, 11.141505, 47.709171, 44.525797
11738292.603676, 8519.375863, 941.121728, 800.114746, 2439.122359, 0.000000, 0.347185, 0.130988, 0.100624, 0.366345, 0.186364, 3.614975, 7.791638, 8.585002, 46.277761, 42.686554
11980824.980409, 8612.630912, 830.584382, 702.444936, 2249.053873, 0.001984, 0.085486, 0.011395, 0.027529, 0.242147, 0.226564, 3.978794, 7.587456, 8.305047, 44.304599, 43.627029
12665246.864198, 8993.630300, 1024.706300, 716.453716, 2224.323300, 0.000062, 0.881793, 0.082921, 0.112393, 0.267432, 0.263415, 6.421190, 12.945690, 13.648118, 51.017605, 43.625988
11962593.063471, 8518.395800, 1096.361673, 639.659400, 2368.803625, 0.000045, 0.078841, 0.057900, 0.088986, 0.181773, 0.229711, 1.934192, 4.463637, 4.281046, 42.309389, 41.570793
10899197.247649, 8802.318605, 848.908937, 817.684709, 2562.636429, 0.004137, 0.132432, 0.116645, 0.017332, 0.206734, 0.207457, 4.181209, 9.778756, 10.301059, 46.273780, 42.487302
